PlayerID,Player,Age,Games,Minutes,FGM,FGA,FTM,FTA,ORB,TRB,AST,STL,BLK,PF,PTS,FGP,FTP,MPG,PPG,RPG,APG,WS25,RANDOM
rosema01,Malik Rose,22,54,525,61,128,38,62,70,164,32,28,17,114,160,0.477,0.613,9.7,3,3,0.6,3.4,
walkean02,Antoine Walker,20,82,2970,576,1354,231,366,288,741,262,105,53,271,1435,0.425,0.631,36.2,17.5,9,3.2,6.7,
walkesa01,Samaki Walker,20,43,602,83,187,48,74,47,147,17,15,22,71,214,0.444,0.649,14,5,3.4,0.4,5.3,
wallajo01,John Wallace,22,68,787,122,236,79,110,51,155,37,21,25,102,325,0.517,0.718,11.6,4.8,2.3,0.5,1,
wrighlo02,Lorenzen Wright,21,77,1936,236,491,88,150,206,471,49,48,60,211,561,0.481,0.587,25.1,7.3,6.1,0.6,3.2,
alexaco01,Cory Alexander,22,60,560,63,155,16,25,9,42,121,27,2,94,168,0.406,0.64,9.3,2.8,0.7,2,-0.3,
amayaas01,Ashraf Amaya,24,54,1104,121,252,97,149,114,303,33,22,10,151,339,0.48,0.651,20.4,6.3,5.6,0.6,0.1,
barrybr01,Brent Barry,24,79,1898,283,597,111,137,38,168,230,95,22,196,800,0.474,0.81,24,10.1,2.1,2.9,2.1,
besttr01,Travis Best,23,59,571,69,163,75,90,11,44,97,20,3,80,221,0.423,0.833,9.7,3.7,0.7,1.6,3.3,
caffeja01,Jason Caffey,22,57,545,71,162,40,68,51,111,24,12,7,91,182,0.438,0.588,9.6,3.2,1.9,0.4,0.5,
carrch01,Chris Carr,21,60,590,90,217,49,60,27,102,43,10,5,77,240,0.415,0.817,9.8,4,1.7,0.7,-0.3,
